PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
44,1,2,"Passenger, Name 44",male,38.0,1,0,A/5 9476,23.8,nan,C
45,0,1,"Passenger, Name 45",female,14.0,2,2,A/5 5811,69.96,nan,S
46,1,3,"Passenger, Name 46",female,2.0,0,0,A/5 9954,7.79,nan,S
47,0,2,"Passenger, Name 47",female,35.0,0,2,A/5 6346,35.91,nan,S
48,0,3,"Passenger, Name 48",female,4.0,2,0,A/5 6043,36.72,nan,S
49,0,3,"Passenger, Name 49",male,2.0,1,0,A/5 3428,23.67,nan,C
50,0,3,"Passenger, Name 50",male,14.0,0,0,A/5 6126,16.16,nan,S
51,1,2,"Passenger, Name 51",female,,0,1,A/5 9220,16.06,C85,C
52,1,2,"Passenger, Name 52",male,2.0,0,0,A/5 8813,76.35,nan,S
53,1,3,"Passenger, Name 53",male,54.0,0,1,A/5 4356,26.17,nan,nan
54,1,2,"Passenger, Name 54",female,4.0,1,0,A/5 9707,20.36,C123,S
55,0,1,"Passenger, Name 55",male,14.0,2,0,A/5 8266,26.56,nan,S
56,1,3,"Passenger, Name 56",male,,2,1,A/5 7540,42.92,nan,S
57,0,3,"Passenger, Name 57",male,26.0,0,0,A/5 1038,12.54,G6,C
58,0,3,"Passenger, Name 58",male,14.0,0,0,A/5 4342,26.6,C85,S
59,0,3,"Passenger, Name 59",male,26.0,3,0,A/5 3844,35.87,nan,C
60,0,1,"Passenger, Name 60",male,4.0,1,2,A/5 2098,102.47,nan,S
61,0,3,"Passenger, Name 61",male,38.0,0,2,A/5 8027,16.81,nan,S
62,0,3,"Passenger, Name 62",female,14.0,2,0,A/5 2823,21.74,nan,S
63,1,1,"Passenger, Name 63",female,22.0,1,0,A/5 4155,22.76,nan,S
64,0,3,"Passenger, Name 64",male,26.0,0,2,A/5 4093,37.27,nan,S
65,0,3,"Passenger, Name 65",female,54.0,0,0,A/5 6658,21.62,nan,nan
66,0,3,"Passenger, Name 66",male,22.0,0,0,A/5 4778,31.9,nan,Q
67,0,3,"Passenger, Name 67",male,27.0,0,2,A/5 3896,56.21,C123,Q
68,1,3,"Passenger, Name 68",female,27.0,0,0,A/5 1988,46.61,nan,C
69,0,2,"Passenger, Name 69",male,,1,0,A/5 5116,26.42,nan,S
70,1,2,"Passenger, Name 70",female,38.0,0,0,A/5 7446,71.39,nan,S
71,1,3,"Passenger, Name 71",male,4.0,0,2,A/5 5179,33.64,nan,S
72,0,3,"Passenger, Name 72",female,14.0,0,2,A/5 2682,32.34,nan,C
73,0,3,"Passenger, Name 73",male,35.0,0,2,A/5 6626,8.61,nan,S
74,1,3,"Passenger, Name 74",female,54.0,2,0,A/5 8424,145.72,nan,S
75,1,3,"Passenger, Name 75",male,26.0,0,1,A/5 1933,11.7,nan,S
76,1,3,"Passenger, Name 76",female,4.0,0,1,A/5 4598,15.91,nan,S
77,1,3,"Passenger, Name 77",male,22.0,1,0,A/5 2980,9.2,nan,C
78,0,3,"Passenger, Name 78",male,27.0,0,1,A/5 4056,40.19,nan,C
79,0,3,"Passenger, Name 79",female,54.0,0,0,A/5 9984,15.64,nan,S
80,0,3,"Passenger, Name 80",male,35.0,0,0,A/5 1791,13.85,G6,Q
81,1,3,"Passenger, Name 81",female,14.0,0,0,A/5 6390,10.47,nan,S
82,1,2,"Passenger, Name 82",female,,0,0,A/5 7635,10.99,nan,S
83,0,2,"Passenger, Name 83",male,35.0,0,0,A/5 3255,35.62,nan,S
84,0,1,"Passenger, Name 84",female,54.0,0,0,A/5 4610,44.79,nan,S
85,0,3,"Passenger, Name 85",male,35.0,2,0,A/5 2607,23.71,G6,S
86,0,1,"Passenger, Name 86",female,54.0,0,0,A/5 6179,28.42,nan,Q
87,1,2,"Passenger, Name 87",male,54.0,0,0,A/5 7573,44.56,C85,S
88,1,3,"Passenger, Name 88",male,2.0,0,0,A/5 1984,8.06,nan,C
89,1,2,"Passenger, Name 89",female,26.0,0,0,A/5 6776,19.99,nan,S
90,0,3,"Passenger, Name 90",female,27.0,0,0,A/5 4676,123.2,nan,S
91,0,1,"Passenger, Name 91",male,2.0,0,0,A/5 4380,35.27,C123,S
92,1,1,"Passenger, Name 92",female,14.0,3,0,A/5 9711,16.89,nan,S
93,1,3,"Passenger, Name 93",male,2.0,0,1,A/5 9782,31.1,nan,S
94,0,2,"Passenger, Name 94",male,38.0,0,0,A/5 2050,20.93,G6,Q
95,1,1,"Passenger, Name 95",male,38.0,0,0,A/5 4633,31.81,nan,S
96,0,3,"Passenger, Name 96",male,27.0,3,0,A/5 7342,11.8,nan,S
97,0,3,"Passenger, Name 97",male,35.0,0,1,A/5 1959,12.06,nan,S
98,0,1,"Passenger, Name 98",male,26.0,0,0,A/5 7059,12.46,G6,S
99,0,3,"Passenger, Name 99",female,27.0,0,1,A/5 9884,97.43,nan,S
100,0,1,"Passenger, Name 100",female,54.0,1,0,A/5 6655,49.74,C85,S
101,0,1,"Passenger, Name 101",female,22.0,0,2,A/5 5473,13.17,C85,S
102,1,3,"Passenger, Name 102",male,26.0,1,0,A/5 3946,14.18,nan,S
103,0,3,"Passenger, Name 103",male,26.0,0,2,A/5 8725,49.5,nan,S
104,0,3,"Passenger, Name 104",female,54.0,0,0,A/5 1526,12.93,nan,S
105,1,3,"Passenger, Name 105",female,54.0,0,0,A/5 4224,16.05,nan,S
106,0,3,"Passenger, Name 106",male,,0,0,A/5 2875,113.3,C85,S
107,0,3,"Passenger, Name 107",female,27.0,0,0,A/5 2763,16.93,E46,Q
108,1,2,"Passenger, Name 108",female,54.0,0,0,A/5 9712,42.18,nan,S
109,0,3,"Passenger, Name 109",female,38.0,1,1,A/5 6797,130.57,nan,S
110,0,2,"Passenger, Name 110",female,14.0,0,2,A/5 8099,22.5,nan,S
111,0,2,"Passenger, Name 111",female,22.0,0,0,A/5 6109,8.07,nan,nan
112,0,1,"Passenger, Name 112",male,27.0,0,0,A/5 7644,16.46,nan,S
113,1,1,"Passenger, Name 113",female,4.0,0,0,A/5 1116,64.37,nan,S
114,1,3,"Passenger, Name 114",female,38.0,0,0,A/5 3433,71.49,nan,C
115,1,3,"Passenger, Name 115",male,35.0,0,0,A/5 6463,54.32,nan,S
116,1,3,"Passenger, Name 116",male,54.0,0,0,A/5 1583,11.34,nan,S
117,1,2,"Passenger, Name 117",male,4.0,1,0,A/5 9586,58.29,nan,S
118,0,1,"Passenger, Name 118",female,54.0,2,0,A/5 4788,87.8,nan,S
119,1,1,"Passenger, Name 119",female,26.0,0,0,A/5 5167,36.87,C123,Q
120,0,2,"Passenger, Name 120",male,38.0,0,0,A/5 9465,98.0,nan,C
121,1,3,"Passenger, Name 121",male,26.0,0,0,A/5 2389,63.61,G6,S
122,1,3,"Passenger, Name 122",male,,0,0,A/5 9357,42.68,E46,S
123,0,3,"Passenger, Name 123",female,26.0,0,2,A/5 7154,35.05,nan,S
124,0,2,"Passenger, Name 124",female,,0,0,A/5 6420,21.21,C85,S
125,0,3,"Passenger, Name 125",female,,1,0,A/5 9920,13.05,nan,C
126,0,3,"Passenger, Name 126",male,4.0,0,0,A/5 3043,37.22,nan,S
127,1,3,"Passenger, Name 127",male,54.0,0,0,A/5 5197,19.75,nan,S
128,1,3,"Passenger, Name 128",male,35.0,0,2,A/5 4496,71.92,nan,C
129,0,2,"Passenger, Name 129",male,26.0,0,0,A/5 1778,167.86,nan,S
130,0,1,"Passenger, Name 130",female,38.0,0,0,A/5 1213,52.17,nan,S
131,0,2,"Passenger, Name 131",female,,0,0,A/5 4762,10.53,nan,S
132,0,3,"Passenger, Name 132",female,54.0,0,1,A/5 7731,18.4,nan,Q
133,0,1,"Passenger, Name 133",female,22.0,1,2,A/5 4117,11.2,nan,S
134,0,1,"Passenger, Name 134",male,27.0,0,0,A/5 6791,41.14,C85,S
135,1,1,"Passenger, Name 135",female,4.0,0,0,A/5 9783,53.87,nan,S
136,0,1,"Passenger, Name 136",female,35.0,0,0,A/5 3720,90.68,nan,S
137,0,3,"Passenger, Name 137",female,2.0,0,2,A/5 9905,25.95,C123,C
138,1,3,"Passenger, Name 138",male,4.0,0,0,A/5 7047,81.63,nan,C
139,0,2,"Passenger, Name 139",male,22.0,1,2,A/5 9032,74.79,nan,S
140,1,1,"Passenger, Name 140",male,27.0,1,0,A/5 1001,19.71,nan,S
141,1,2,"Passenger, Name 141",female,22.0,1,0,A/5 7368,72.52,nan,S
142,0,2,"Passenger, Name 142",female,26.0,0,0,A/5 2949,22.57,G6,S
143,0,1,"Passenger, Name 143",male,,0,0,A/5 7732,18.77,nan,S
144,0,2,"Passenger, Name 144",female,35.0,0,0,A/5 8833,41.01,G6,C
145,0,2,"Passenger, Name 145",female,14.0,0,0,A/5 1917,20.24,nan,S
146,0,3,"Passenger, Name 146",male,,1,0,A/5 4174,39.33,nan,S
147,1,3,"Passenger, Name 147",male,14.0,0,0,A/5 8014,37.62,nan,S
148,0,1,"Passenger, Name 148",female,27.0,0,0,A/5 1089,34.02,nan,C
149,0,2,"Passenger, Name 149",male,54.0,0,0,A/5 2709,22.82,nan,C
150,0,3,"Passenger, Name 150",female,2.0,0,2,A/5 4041,32.95,E46,C
151,1,3,"Passenger, Name 151",male,38.0,0,1,A/5 1105,36.54,C123,S
152,0,3,"Passenger, Name 152",female,,0,2,A/5 9619,32.75,nan,S
153,0,3,"Passenger, Name 153",male,35.0,0,2,A/5 2895,26.31,G6,C
154,0,1,"Passenger, Name 154",male,22.0,1,0,A/5 7090,7.97,C123,S
155,1,1,"Passenger, Name 155",female,35.0,1,0,A/5 9508,35.8,nan,S
156,0,3,"Passenger, Name 156",male,27.0,0,0,A/5 7082,13.4,nan,C
157,1,1,"Passenger, Name 157",male,14.0,0,0,A/5 1634,40.42,nan,C
158,1,3,"Passenger, Name 158",male,22.0,0,0,A/5 2925,53.08,nan,S
159,0,3,"Passenger, Name 159",female,38.0,0,1,A/5 3056,29.71,nan,S
160,1,3,"Passenger, Name 160",female,38.0,0,0,A/5 7917,32.51,nan,S
161,0,2,"Passenger, Name 161",female,,0,0,A/5 4144,104.32,C85,S
162,1,3,"Passenger, Name 162",male,27.0,0,0,A/5 1552,67.61,nan,S
163,1,2,"Passenger, Name 163",male,54.0,0,0,A/5 9907,86.1,nan,C
164,0,3,"Passenger, Name 164",male,27.0,0,0,A/5 6383,61.28,G6,C
165,0,3,"Passenger, Name 165",male,14.0,0,0,A/5 4911,11.19,E46,C
166,1,2,"Passenger, Name 166",male,35.0,2,1,A/5 4389,12.66,nan,S
167,0,3,"Passenger, Name 167",male,38.0,1,0,A/5 9442,31.43,E46,C
168,0,3,"Passenger, Name 168",male,35.0,0,0,A/5 3430,16.54,nan,C
169,0,1,"Passenger, Name 169",female,35.0,1,1,A/5 1458,28.22,nan,S
170,0,1,"Passenger, Name 170",male,35.0,0,2,A/5 1207,23.55,nan,C
171,1,1,"Passenger, Name 171",male,38.0,1,1,A/5 1899,33.01,nan,C
172,0,1,"Passenger, Name 172",female,4.0,1,1,A/5 1021,51.46,nan,S
173,0,1,"Passenger, Name 173",male,26.0,0,0,A/5 9601,47.72,nan,S
174,0,3,"Passenger, Name 174",female,14.0,0,0,A/5 1894,31.07,nan,S
175,1,1,"Passenger, Name 175",female,4.0,0,0,A/5 1514,62.8,nan,S
176,0,2,"Passenger, Name 176",female,14.0,0,0,A/5 8294,25.54,nan,S
177,1,3,"Passenger, Name 177",male,22.0,0,0,A/5 5904,80.15,C85,C
178,0,1,"Passenger, Name 178",female,27.0,0,0,A/5 8867,9.87,nan,S
179,1,3,"Passenger, Name 179",male,27.0,0,0,A/5 5109,106.49,nan,S
180,0,2,"Passenger, Name 180",male,2.0,1,0,A/5 8179,41.53,nan,S
181,0,1,"Passenger, Name 181",male,27.0,3,0,A/5 2560,22.8,nan,S
182,0,3,"Passenger, Name 182",female,38.0,0,0,A/5 2266,14.53,nan,S
183,1,3,"Passenger, Name 183",male,54.0,0,0,A/5 4638,28.38,C85,S
184,1,3,"Passenger, Name 184",male,,0,0,A/5 9941,14.42,nan,S
185,0,3,"Passenger, Name 185",female,2.0,0,1,A/5 4427,13.32,nan,S
186,1,3,"Passenger, Name 186",male,,2,0,A/5 5780,38.24,nan,S
187,1,2,"Passenger, Name 187",male,14.0,0,0,A/5 2927,31.19,nan,S
188,0,1,"Passenger, Name 188",male,,0,0,A/5 3356,42.99,nan,C
189,0,3,"Passenger, Name 189",male,,0,1,A/5 5790,92.42,nan,S
190,0,3,"Passenger, Name 190",male,2.0,0,0,A/5 1306,31.81,nan,C
191,0,3,"Passenger, Name 191",male,22.0,0,0,A/5 8979,35.33,nan,S
192,1,2,"Passenger, Name 192",female,35.0,1,0,A/5 4665,10.5,nan,S
193,1,2,"Passenger, Name 193",male,27.0,0,0,A/5 8057,47.97,nan,C
194,1,3,"Passenger, Name 194",male,27.0,0,1,A/5 1661,23.84,C123,S
195,0,2,"Passenger, Name 195",female,38.0,0,0,A/5 5644,127.83,C85,S
196,0,3,"Passenger, Name 196",male,2.0,2,0,A/5 9503,62.94,C85,S
197,1,3,"Passenger, Name 197",female,38.0,1,1,A/5 3920,31.15,nan,S
198,1,2,"Passenger, Name 198",male,54.0,0,1,A/5 9946,11.71,nan,S
199,1,3,"Passenger, Name 199",male,54.0,0,0,A/5 7236,70.28,nan,S
200,1,3,"Passenger, Name 200",male,38.0,0,1,A/5 7078,58.97,nan,S
